"","FL_DATE","max_delay"
"441","2020-03-16",702
"442","2020-03-17",157
"443","2020-03-18",179
"444","2020-03-19",316
"445","2020-03-20",1632
"446","2020-03-21",141
"447","2020-03-22",212
"448","2020-03-23",741
"449","2020-03-24",482
"450","2020-03-25",136
"451","2020-03-26",175
"452","2020-03-27",39
"453","2020-03-28",152
"454","2020-03-29",104
"455","2020-03-30",20
"456","2020-03-31",204
"457","2020-04-01",363
"458","2020-04-02",208
"459","2020-04-03",256
"460","2020-04-04",86
"461","2020-04-05",314
"462","2020-04-06",22
"463","2020-04-07",30
"464","2020-04-08",133
"465","2020-04-09",132
"466","2020-04-10",120
"467","2020-04-11",138
"468","2020-04-12",59
"469","2020-04-13",73
"470","2020-04-14",63
"471","2020-04-15",182
"472","2020-04-16",297
"473","2020-04-17",58
"474","2020-04-18",197
"475","2020-04-19",188
"476","2020-04-20",213
"477","2020-04-21",571
"478","2020-04-22",54
"479","2020-04-23",58
"480","2020-04-24",148
"481","2020-04-25",67
"482","2020-04-26",258
"483","2020-04-27",203
"484","2020-04-28",115
"485","2020-04-29",52
"486","2020-04-30",64
"487","2020-05-01",87
"488","2020-05-02",60
"489","2020-05-03",128
"490","2020-05-04",121
"491","2020-05-05",611
"492","2020-05-06",94
"493","2020-05-07",45
"494","2020-05-08",186
"495","2020-05-09",23
"496","2020-05-10",44
"497","2020-05-11",81
"498","2020-05-12",64
"499","2020-05-13",38
"500","2020-05-14",108
"501","2020-05-15",130
"502","2020-05-16",126
"503","2020-05-17",113
"504","2020-05-18",125
"505","2020-05-19",132
"506","2020-05-20",90
"507","2020-05-21",90
"508","2020-05-22",43
"509","2020-05-23",173
"510","2020-05-24",81
"511","2020-05-25",131
"512","2020-05-26",85
"513","2020-05-27",89
"514","2020-05-28",122
"515","2020-05-29",61
"516","2020-05-30",13
"517","2020-05-31",88
"518","2020-06-01",39
"519","2020-06-02",13
"520","2020-06-03",81
"521","2020-06-04",167
"522","2020-06-05",87
"523","2020-06-06",719
"524","2020-06-07",186
"525","2020-06-08",78
"526","2020-06-09",127
"527","2020-06-10",191
"528","2020-06-11",86
"529","2020-06-12",526
"530","2020-06-13",92
"531","2020-06-14",66
"532","2020-06-15",50
"533","2020-06-16",102
"534","2020-06-17",73
"535","2020-06-18",97
"536","2020-06-19",124
"537","2020-06-20",847
"538","2020-06-21",155
"539","2020-06-22",222
"540","2020-06-23",186
"541","2020-06-24",47
"542","2020-06-25",92
"543","2020-06-26",95
"544","2020-06-27",52
"545","2020-06-28",249
"546","2020-06-29",230
"547","2020-06-30",90
"548","2020-07-01",135
"549","2020-07-02",109
"550","2020-07-03",117
"551","2020-07-04",246
"552","2020-07-05",162
"553","2020-07-06",295
"554","2020-07-07",168
"555","2020-07-08",185
"556","2020-07-09",296
"557","2020-07-10",325
"558","2020-07-11",43
"559","2020-07-12",167
"560","2020-07-13",311
"561","2020-07-14",181
"562","2020-07-15",168
"563","2020-07-16",166
"564","2020-07-17",177
"565","2020-07-18",449
"566","2020-07-19",185
"567","2020-07-20",155
"568","2020-07-21",371
"569","2020-07-22",159
"570","2020-07-23",224
"571","2020-07-24",81
"572","2020-07-25",208
"573","2020-07-26",154
"574","2020-07-27",771
"575","2020-07-28",311
"576","2020-07-29",195
"577","2020-07-30",69
"578","2020-07-31",121
"579","2020-08-01",116
"580","2020-08-02",100
"581","2020-08-03",290
"582","2020-08-04",100
"583","2020-08-05",86
"584","2020-08-06",117
"585","2020-08-07",206
"586","2020-08-08",75
"587","2020-08-09",149
"588","2020-08-10",830
"589","2020-08-11",121
"590","2020-08-12",125
"591","2020-08-13",1123
"592","2020-08-14",158
"593","2020-08-15",144
"594","2020-08-16",211
"595","2020-08-17",120
"596","2020-08-18",135
"597","2020-08-19",105
"598","2020-08-20",40
"599","2020-08-21",134
"600","2020-08-22",96
"601","2020-08-23",282
"602","2020-08-24",148
"603","2020-08-25",138
"604","2020-08-26",100
"605","2020-08-27",92
"606","2020-08-28",103
"607","2020-08-29",90
"608","2020-08-30",140
"609","2020-08-31",153
"610","2020-09-01",329
"611","2020-09-02",273
"612","2020-09-03",87
"613","2020-09-04",80
"614","2020-09-05",200
"615","2020-09-06",101
"616","2020-09-07",70
"617","2020-09-08",178
"618","2020-09-09",139
"619","2020-09-10",79
"620","2020-09-11",92
"621","2020-09-12",1249
"622","2020-09-13",42
"623","2020-09-14",145
"624","2020-09-15",230
"625","2020-09-16",64
"626","2020-09-17",78
"627","2020-09-18",171
"628","2020-09-19",173
"629","2020-09-20",49
"630","2020-09-21",42
"631","2020-09-22",58
"632","2020-09-23",24
"633","2020-09-24",413
"634","2020-09-25",113
"635","2020-09-26",82
"636","2020-09-27",171
"637","2020-09-28",131
"638","2020-09-29",248
"639","2020-09-30",70
"640","2020-10-01",335
"641","2020-10-02",72
"642","2020-10-03",159
"643","2020-10-04",292
"644","2020-10-05",82
"645","2020-10-06",100
"646","2020-10-07",142
"647","2020-10-08",69
"648","2020-10-09",210
"649","2020-10-10",242
"650","2020-10-11",313
"651","2020-10-12",103
"652","2020-10-13",96
"653","2020-10-14",101
"654","2020-10-15",487
"655","2020-10-16",76
"656","2020-10-17",52
"657","2020-10-18",207
"658","2020-10-19",106
"659","2020-10-20",501
"660","2020-10-21",211
"661","2020-10-22",272
"662","2020-10-23",313
"663","2020-10-24",106
"664","2020-10-25",139
"665","2020-10-26",937
"666","2020-10-27",441
"667","2020-10-28",110
"668","2020-10-29",515
"669","2020-10-30",195
"670","2020-10-31",121
"671","2020-11-01",122
"672","2020-11-02",119
"673","2020-11-03",145
"674","2020-11-04",480
"675","2020-11-05",470
"676","2020-11-06",74
